eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl
egipto	an Egyptian person	이집트 사람	un Égyptien	エジプト人	埃及人	埃及人	một người Ai Cập	египет хүн	คนอียิปต์	seorang Mesir	orang Mesir	एक मिस्री व्यक्ति	یک فرد مصری	एक मिश्री व्यक्ति	ایک مصری شخص	Mısırlı bir kişi	אדם מצרי	شخص مصري	eine ägyptische Person	una persona egipcia	una persona egiziana	uma pessoa egípcia	египетский человек	osoba egipska
-unt	(suffix)  conditional active	(어미)  가정법 능동태	(suffix) actif conditionnel	＜母語＞家庭法能動態	(词尾) 有条件主动	&lt;詞尾&gt;有條件主動	(hậu tố) hoạt động có điều kiện	(suffix) нөхцөлт идэвхтэй	(suffix) ใช้งานแบบมีเงื่อนไข	(suffix) aktif bersyarat	(suffix) aktif bersyarat	(suffix) सशर्त सक्रिय	(suffix) فعال مشروط	(suffix) सशर्त सक्रिय	(suffix) مشروط فعال	(suffix) koşullu aktif	(suffix) פעיל מותנה	(suffix) نشط مشروط	(Suffix) bedingt aktiv	(sufijo) condicional activo	(suffisso) condizionale attivo	(sufixo) condicional ativo	(суффикс) условно активный	(przyrostek) warunkowo aktywny
frenezulo	a fanatic, a lunatic, a maniac	미친사람, 광인	un fanatique, un fou, un maniaque	クレイジー、狂人	狂热者，疯子，疯子	狂熱者，瘋子，瘋子	người cuồng tín, người điên, người điên	фанат, галзуу, маньяк	คนคลั่งไคล้ คนบ้า คนบ้าคลั่ง	fanatik, gila, gila	seorang fanatik, orang gila, seorang maniak	एक कट्टर, एक सनकी, एक उन्मत्त	یک متعصب، یک دیوانه، یک دیوانه	एक कट्टर, एक पागल, एक पागल	ایک جنونی، ایک پاگل، ایک پاگل	bir fanatik, bir deli, bir manyak	קנאי, מטורף, מטורף	متعصب، مجنون، مهووس	ein Fanatiker, ein Verrückter, ein Wahnsinniger	un fanático, un lunático, un maníaco	un fanatico, un pazzo, un maniaco	um fanático, um lunático, um maníaco	фанатик, сумасшедший, маньяк	fanatyk, wariat, maniak
ekde	since	~로 부터	depuis	~から	自从	自從	từ	оноос хойш	เนื่องจาก	sejak	sejak	तब से	از آنجا که	देखि	جب سے	o zamandan beri	מאז	منذ	seit	desde	Da	desde	с	od
observi	to observe	관찰하다, 지켜보다, 준수하다	observer	観察する、守るより、順守する	观察	觀察	để quan sát	ажиглах	สังเกต	untuk memerhati	untuk mengamati	अनुसरण करना	برای مشاهده	हेर्नु	مشاہدہ کرنا	gözlemlemek	לצפות	لمراقبة	beobachten	para observar	osservare	Observar	наблюдать	obserwować
edziĝi (kun ~)	to become a husband, to get married (with ~)	남편이 되다. 장가가다	devenir mari, se marier (avec ~)	夫になる。張家に行く	成为丈夫，结婚（与〜）	成為丈夫，結婚（與〜）	trở thành chồng, kết hôn (với ~)	нөхөр болох, гэрлэх (~-тэй)	มาเป็นสามี แต่งงาน (กับ ~)	menjadi suami, berkahwin (dengan ~)	untuk menjadi seorang suami, untuk menikah (dengan ~)	पति बनना, विवाह करना (के साथ)	شوهر شدن، ازدواج کردن (با ~)	पति बन्न, विवाह गर्न (~ सँग)	شوہر بننا، شادی کرنا (~ کے ساتھ)	koca olmak, evlenmek (~ ile)	להפוך לבעל, להתחתן (עם ~)	ليصبح زوجا، للزواج (مع ~)	Ehemann werden, heiraten (mit ~)	convertirse en marido, casarse (con ~)	diventare marito, sposarsi (con ~)	para se tornar um marido, para se casar (com ~)	стать мужем, выйти замуж (с ~)	zostać mężem, wyjść za mąż (z ~)
bambuo	a bamboo	대나무	un bambou	竹	一根竹子	一根竹子	một cây tre	хулс	ไม้ไผ่	sebatang buluh	sebuah bambu	एक बांस	یک بامبو	एउटा बाँस	ایک بانس	bir bambu	במבוק	الخيزران	ein Bambus	un bambú	un bambù	um bambu	бамбук	bambus
turko	a Turkish	터키사람	un turc	トルコ人	一个土耳其人	一個土耳其人	một người Thổ Nhĩ Kỳ	турк хүн	ชาวตุรกี	orang Turki	seorang Turki	एक तुर्की	یک ترک	एक टर्की	ایک ترک	bir Türk	טורקית	تركي	ein Türke	un turco	un turco	um turco	турецкий	Turek
glumarko	a sticker	스티커	Un autocollant	ステッカー	一张贴纸	一張貼紙	một nhãn dán	наалт	สติกเกอร์	pelekat	sebuah stiker	स्टीकर	یک برچسب	एक स्टिकर	ایک اسٹیکر	Bir etiket	מדבקה	ملصق	ein Aufkleber	Una pegatina	un adesivo	um adesivo	наклейка	Naklejka
akceptebla	acceptable	수용가능한	acceptable	受け入れ可能	可以接受	可以接受	chấp nhận được	хүлээн зөвшөөрөх боломжтой	ยอมรับได้	boleh diterima	dapat diterima	स्वीकार्य	قابل قبول	स्वीकार्य	قابل قبول	kabul edilebilir	קָבִיל	مقبول	akzeptabel	aceptable	accettabile	aceitável	приемлемый	do przyjęcia
alvenigi	to make arrive	인도하다	faire arriver	導く	使到达	使到達	đến nơi	ирэхэд хүргэх	เพื่อให้มาถึง	untuk membuat tiba	untuk tiba	आगमन करने के लिए	برای رسیدن	पुग्नको लागि	پہنچنے کے لئے	varmasını sağlamak	לגרום להגיע	للوصول	ankommen lassen	hacer llegar	far arrivare	fazer chegar	чтобы прибыть	aby przyjechać
boato	a boat	보트	un bateau	ボート	一条船	一艘船	một chiếc thuyền	завь	เรือ	bot	sebuah perahu	एक नाव	یک قایق	एउटा डुङ्गा	ایک کشتی	bir tekne	סירה	قارب	ein Boot	un barco	una barca	um barco	лодка	Łódź
aligatori	to speak in non-Esperanto (English)	에스페란토 모임에서 외국어(영어)로 말하다	parler en non-espéranto (anglais)	エスペラント会議で外国語（英語）で話す	用非世界语（英语）说话	用非世界語（英語）說話	nói bằng thứ tiếng không phải Esperanto (tiếng Anh)	эсперанто бус (англи) хэлээр ярих	พูดเป็นภาษาที่ไม่ใช่ภาษาเอสเปรันโต (อังกฤษ)	untuk bercakap dalam bahasa bukan Esperanto (Bahasa Inggeris)	untuk berbicara dalam bahasa non-Esperanto (Inggris)	गैर-एस्पेरान्तो (अंग्रेजी) में बात करना	صحبت کردن به غیر اسپرانتو (انگلیسی)	गैर-एस्पेरान्तो (अंग्रेजी) मा बोल्न	غیر ایسپرانٹو (انگریزی) میں بات کرنا	Esperanto dışında konuşmak (İngilizce)	לדבר בשפה לא אספרנטו (אנגלית)	التحدث بلغة غير الإسبرانتو (الإنجليزية)	auf Nicht-Esperanto (Englisch) sprechen	hablar en idioma distinto del esperanto (inglés)	parlare in una lingua non esperanto (inglese)	falar em não esperanto (inglês)	говорить не на эсперанто (английском)	mówić w języku innym niż esperanto (angielski)
arbeto	a small tree	작은 나무	un petit arbre	小さな木	一棵小树	一棵小樹	một cái cây nhỏ	жижиг мод	ต้นไม้เล็ก ๆ	pokok kecil	sebatang pohon kecil	एक छोटा पेड़	یک درخت کوچک	एउटा सानो रूख	ایک چھوٹا سا درخت	küçük bir ağaç	עץ קטן	شجرة صغيرة	ein kleiner Baum	un pequeño árbol	un piccolo albero	uma pequena árvore	маленькое дерево	małe drzewo
harpinglo	a hairpin, a bracket	머리핀	une épingle à cheveux, un support	ヘアピン	一个发夹，一个支架	一個髮夾，一個支架	một cái kẹp tóc, một cái giá đỡ	үсний хавчаар, хаалт	กิ๊บติดผม, วงเล็บ	sepit rambut, kurungan	jepit rambut, braket	एक हेयरपिन, एक ब्रैकेट	یک سنجاق سر، یک براکت	एक कपाल, एक कोष्ठक	بالوں کا پین، ایک بریکٹ	bir saç tokası, bir braket	סיכת ראש, סוגר	دبوس الشعر، قوس	eine Haarnadel, eine Klammer	una horquilla, un soporte	una forcina, una staffa	um grampo de cabelo, um suporte	шпилька, скобка	spinka do włosów, wspornik
konsekvenco	a consequence	결과, 결말, 귀결	une conséquence	結果、結末、帰結	一个后果	一個後果	một hệ quả	үр дагавар	ผลที่ตามมา	akibat	sebuah konsekuensi	एक परिणाम	یک نتیجه	एक परिणाम	ایک نتیجہ	bir sonuç	תוצאה	نتيجة	eine Konsequenz	una consecuencia	una conseguenza	Uma consequencia	следствие	konsekwencja
polo	a Polish person, a polander	폴란드 사람	un Polonais, un Polonais	ポーランド人	波兰人，波兰人	波蘭人，波蘭人	người Ba Lan, người Ba Lan	Польш хүн, Польш хүн	คนโปแลนด์, ชาวโปแลนด์	orang Poland, orang polandia	orang Polandia, orang Polandia	एक पोलिश व्यक्ति, एक पोलांडर	یک فرد لهستانی، یک لهستانی	एक पोलिश व्यक्ति, एक पोलैंडर	ایک پولش شخص، ایک پولنڈر	Polonyalı bir kişi, Polonyalı	אדם פולני, פולני	شخص بولندي، بولاندر	ein Pole, ein Polender	un polaco, un polaco	un polacco, un polandese	um polaco, um poleiro	поляк, поляк	Polak, Polak
edziniĝi (kun ~)	to become a wife, to get married (with ~)	아내가 되다, 시집가다	devenir épouse, se marier (avec ~)	妻になる、嫁になる	成为妻子，结婚（与〜）	成為妻子，結婚（與〜）	trở thành vợ, kết hôn (với ~)	эхнэр болох, гэрлэх (~-тэй)	มาเป็นเมีย แต่งงาน (กับ~)	menjadi isteri, berkahwin (dengan ~)	untuk menjadi seorang istri, untuk menikah (dengan ~)	पत्नी बनना, विवाह करना (के साथ)	همسر شدن، ازدواج کردن (با ~)	पत्नी बन्न, विवाह गर्न (~ सँग)	بیوی بننا، شادی کرنا (~ کے ساتھ)	eş olmak, evlenmek (~ ile)	להפוך לאישה, להתחתן (עם ~)	لتصبح زوجة، للزواج (مع ~)	Ehefrau werden, heiraten (mit ~)	convertirse en esposa, casarse (con ~)	diventare moglie, sposarsi (con ~)	para se tornar uma esposa, para se casar (com ~)	стать женой, выйти замуж (с ~)	zostać żoną, wyjść za mąż (z ~)
harpo	a harp	하프(악기)	une harpe	ハーフ（楽器）	竖琴	豎琴	một cây đàn hạc	ятга	พิณ	sebuah kecapi	sebuah harpa	एक वीणा	یک چنگ	एक वीणा	ایک ہارپ	bir arp	נבל	قيثارة	eine Harfe	un arpa	un'arpa	uma harpa	арфа	harfa
aĉetumi	to go shopping	쇼핑하다	faire des courses	買い物	去购物	去購物	đi mua sắm	дэлгүүр явах	ไปช้อปปิ้ง	untuk pergi membeli-belah	pergi berbelanja	शॉपिंग करना	به خرید رفتن	किनमेल गर्न जान	خریداری کے لیے جانا	alışverişe gitmek	ללכת לקניות	الذهاب للتسوق	Einkaufen gehen	para ir de compras	andare a fare acquisti	ir às compras	ходить за покупками	iść na zakupy
aŭdiĝi	to hear, to be heard	들리다	entendre, être entendu	聞こえる	听到，被听到	聽到，被聽到	được nghe, được nghe	сонсох, сонсох	ที่จะได้ยินที่จะได้ยิน	untuk mendengar, untuk didengari	untuk mendengar, untuk didengar	सुनना, सुना जाना	شنیدن، شنیده شدن	सुन्नु, सुन्नु	سننا، سنا جانا	duymak, duyulmak	לשמוע, להישמע	لسماع، ليتم سماعها	hören, gehört werden	escuchar, ser escuchado	sentire, essere ascoltato	ouvir, ser ouvido	слышать, быть услышанным	słyszeć, być słyszanym
geedzoj	(both) husband and wife, a married couple	부부	(tous deux) mari et femme, un couple marié	カップル	（双方）丈夫和妻子，已婚夫妇	（雙方）丈夫和妻子，已婚夫婦	(cả hai) vợ chồng, một cặp vợ chồng	(хоёулаа) эхнэр нөхөр, гэрлэсэн хос	(ทั้งสอง) สามีภรรยาคู่สามีภรรยาที่แต่งงานแล้ว	(kedua-dua) suami isteri, pasangan suami isteri	(keduanya) suami istri, sepasang suami istri	(दोनों) पति और पत्नी, एक विवाहित जोड़ा	(هر دو) زن و شوهر، زن و شوهر	(दुबै) पति र पत्नी, एक विवाहित जोडी	(دونوں) میاں بیوی، ایک شادی شدہ جوڑا	(her ikisi de) karı koca, evli bir çift	(שניהם) בעל ואישה, זוג נשוי	(كلا) الزوج والزوجة، زوجان	(beide) Ehemann und Ehefrau, ein verheiratetes Paar	(ambos) marido y mujer, una pareja casada	(entrambi) marito e moglie, una coppia sposata	(ambos) marido e mulher, um casal	(оба) муж и жена, семейная пара	(oboje) mąż i żona, małżeństwo
