eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn
purigi la kuirejon	to clean the kitchen	부엌을 깨끗하게 청소하다	nettoyer la cuisine	キッチンをきれいに掃除する	打扫厨房	打掃廚房	để dọn dẹp nhà bếp
kiu purigos la kuirejon?	who will clean the kitchen?	누가 부엌을 청소할 것인가?	qui va nettoyer la cuisine ?	誰がキッチンを掃除しますか？	谁来打扫厨房？	誰來打掃廚房？	ai sẽ dọn dẹp nhà bếp?
volas trinki	wants to drink	마시기를 원한다	veut boire	飲み物を飲みたい	想喝	想喝	muốn uống
kion vi volas trinki?	what do you want to drink	당신은 무엇을 마시기 원하십니까?	que veux-tu boire	あなたは何を飲みたいですか？	你想喝什么	你想喝什麼	bạn muốn uống gì
trinki teon	to drink tea	차를 마시다	boire du thé	お茶を飲む	喝茶	喝茶	uống trà
iom da akvo	a little of water	물 약간	un peu d'eau	少し水	一点水	一點水	một ít nước
ĉu vi volas nenion?	do you want nothing?	당신은 아무것도 원하지 않습니까?	tu ne veux rien ?	あなたは何も欲しくないですか？	你什么都不想要吗？	你什麼都不想要嗎？	bạn có muốn gì không?
tiel subite	so suddenly	그렇게 갑자기	si soudainement	そんなに急に	如此突然	如此突然	thật đột ngột
kial vi decidis ~ ?	why did you decide ~ ?	왜 당신은 ~을 결정하였느냐?	pourquoi as-tu décidé ~ ?	なぜあなたは～を決めたのですか？	你为什么决定~？	為什麼決定~？	tại sao bạn lại quyết định ~ ?
kial vi tiel subite decidis ~ ?	why did you decide ~ so suddenly?	당신은 왜 그렇게 갑자기 ~을 결정하였느냐?	pourquoi as-tu décidé ~ si soudainement ?	あなたはなぜそんなに急に～を決めたのですか？	你为什么这么突然决定？	為什麼這麼突然決定？	tại sao bạn lại quyết định ~ đột ngột như vậy?
via ĉambro	your room	당신의 방	ta chambre	あなたの部屋	你的房间	你的房間	phòng của bạn
via ĉambreto	your little room	당신의 작은 방	ta petite chambre	あなたの小さな部屋	你的小房间	你的小房間	căn phòng nhỏ của bạn
vian ĉambreton	to your little room	당신의 작은 방으로	dans ta petite chambre	あなたの小さな部屋へ	到你的小房间	到你的小房間	đến căn phòng nhỏ của bạn
renovigi vian ĉambreton	to renovate your little room	당신의 작은 방을 새로이 하다	pour rénover votre petite chambre	あなたの小さな部屋を新しくする	翻新你的小房间	翻新你的小房間	để cải tạo căn phòng nhỏ của bạn
decidis renovigi vian ĉambreton	decided to renovate your little room	당신의 작은 방을 새로 만들기로 결정하였다	j'ai décidé de rénover ta petite chambre	あなたの小さな部屋を新しくすることにした	决定翻新你的小房间	決定翻新你的小房間	quyết định cải tạo căn phòng nhỏ của bạn
al kiu	to whom	누구에게	à qui	誰に	给谁	給誰	cho ai
vi donis ~	you gave ~	당신은 ~을 주었다	tu as donné ~	あなたは～を与えた	你给了~	你給了~	bạn đã cho ~
al kiu vi donis ~ ?	to whom did you give ~ ?	당신은 누구에게 ~을 주었으냐?	à qui as-tu donné ~ ?	あなたは誰に～をあげたか？	你给了谁~？	你給了誰~？	bạn đã đưa cho ai ~?
puraj glasoj	clean glasses	깨끗한 컵들	lunettes propres	きれいなコップたち	清洁眼镜	清潔眼鏡	kính sạch
vi donis la purajn glasojn	you gave the clean glasses	당신은 그 깨끗한 컵들을 주었다	tu as donné les verres propres	あなたはそのきれいなカップを与えた	你给了干净的眼镜	你給了乾淨的眼鏡	bạn đã đưa ra những chiếc kính sạch
la puraj glasoj por la vino	the clean glasses for the wine	와인을 위한 그 깨끗한 컵들	les verres propres pour le vin	ワインのためのそのきれいなコップ	干净的酒杯	乾淨的酒杯	những ly rượu sạch
kontraŭ kiu	against whom	누구를 대항하여	contre qui	誰に対して	针对谁	針對誰	chống lại ai
via sportklubo	your sports club	당신의 스포츠 클럽	votre club de sport	あなたのスポーツクラブ	你的体育俱乐部	你的運動俱樂部	câu lạc bộ thể thao của bạn
ludas kontraŭ ~	plays against ~	~을 대항하여 경기한다	joue contre ~	~を相手に試合をする	对阵~	對~	chơi chống lại ~
antaŭ du semajnoj	two weeks ago	2주 전에	il y a deux semaines	2週間前	两周前	兩週前	hai tuần trước
kontraŭ kiu via sportklubo ludis?	who did your sports club play against?	누구를 대항하여 당신의 스포츠 클럽은 경기를 하였느냐?	Contre qui votre club sportif a-t-il joué ?	誰を相手にあなたのスポーツクラブは試合をしたか？	你的体育俱乐部与谁比赛？	你的運動俱樂部與誰比賽？	câu lạc bộ thể thao của bạn đã thi đấu với ai?
ĉu vi vidas ~ ?	do you see ~ ?	당신은 ~을 보느냐? (당신에게 ~이 보이느냐?)	tu vois ~ ?	あなたは～を見ますか？ (あなたに～が見えますか？)	你看到了吗~？	你看到了嗎~？	bạn có thấy không ~?
ĉu vi ofte vidas ~ ?	do you often see ~ ?	당신은 ~을 자주 보느냐?	voyez-vous souvent ~ ?	あなたは～をよく見ますか？	你经常看到吗~？	你常看到嗎~？	bạn có thường thấy không ~?
ofte vidas la policiston	often see the policeman	자주 그 경찰은 본다	je vois souvent le policier	よくその警察官を見る	经常见到警察	經常見到警察	thường xuyên gặp cảnh sát
tiu, kiu loĝas en ~	the one who lives in ~	그 사람, ~에 거주하고 있는 그	celui qui vit dans ~	その人、～に住んでいる彼	住的人~	住的人~	người sống ở ~
loĝas en la loĝejo	lives in the lodging place	그 숙소에 거주하고 있다	vit dans le lieu d'hébergement	その宿舎に住んでいる	住在住宿的地方	住在住宿的地方	sống ở nơi trọ
la loĝejo super vi	the dwelling place above you	당신 위에 있는 그 숙소	la demeure au-dessus de toi	あなたの上にあるその宿舎	你上方的住所	你上方的住所	nơi ở phía trên bạn
vidas la policiston, kiu loĝas en ~	sees the police officer who lives in ~	그 경찰은 본다, ~에 거주하고 있는 그	voit le policier qui habite à ~	その警察官を見る、～に居住しているその人	看到住的警察啦~	看到住的警察啦~	nhìn thấy viên cảnh sát sống ở ~
plano pri veturado	driving plan	차량 이동 계획	plan de conduite	車の移動計画	驾驶计划	駕駛計劃	kế hoạch lái xe
volis vojaĝi	wanted to travel	여행하고 싶었다	je voulais voyager	旅行に行きたかった	想去旅行	想去旅行	muốn đi du lịch
vojaĝi al alia lando	to travel to another country	외국으로 여행하다	voyager dans un autre pays	外国へ旅行する	去另一个国家旅行	去另一個國家旅行	đi du lịch đến một đất nước khác
en libertempo	in free time	자유시간에	en temps libre	自由な時間に	在空闲时	在空閒時	trong thời gian rảnh
ili decidis iri	they decided to go	그들은 가기로 결정했다	ils ont décidé d'y aller	彼らは行くことにした	他们决定去	他們決定去	họ quyết định đi
decidis iri al Italio	decided to go to Italy	이탈리아로 가기로 결정했다	j'ai décidé d'aller en Italie	イタリアに行くことにした	决定去意大利	決定去義大利	quyết định đi Ý
malnovaj urboj	old cities	오래된 도시들	vieilles villes	古い町並み	旧城	舊城	thành phố cổ
lando kun malnovaj urboj	a country with old cities	오래된 도시들이 있는 나라	un pays avec de vieilles villes	古い都市がある国	一个拥有古老城市的国家	一個擁有古老城市的國家	một đất nước với những thành phố cổ
aliaj belaĵoj	other beauties	다른 아름다운 것들	d'autres beautés	他の美しいもの	其他美女	其他美女	những người đẹp khác
kaj aliaj belaĵoj	and other beauties	그리고 다른 아름다운 것들	et d'autres beautés	そして他の美しいもの	和其他美女	和其他美女	và những người đẹp khác
bela lando kun malnovaj urboj kaj aliaj belaĵoj	a beautiful country with old cities and other beauties	오래된 도시들과 다른 아름다운 것들이 있는 아름다운 나라	un beau pays avec des vieilles villes et d'autres beautés	古い都市と他の美しいものがある美しい国	一个拥有古老城市和其他美景的美丽国家	一個擁有古老城市和其他美景的美麗國家	một đất nước xinh đẹp với những thành phố cổ và những vẻ đẹp khác
ili estis feliĉaj	they were happy	그들은 행복하였다	ils etaient heureux	彼らは幸せだった	他们很高兴	他們很高興	họ đã vui vẻ
kie estas ~ ?	where is ~ ?	~는 어디에 있는가?	où est ~ ?	~はどこにある？	〜在哪里？	〜在哪裡？	~ ở đâu?
kie estas mia vestaĵo?	where are my clothes	나의 옷가지는 어디에 있는가?	Où sont mes vêtements	私の服はどこにある？	我的衣服在哪里	我的衣服在哪裡	quần áo của tôi đâu
ŝi demandis ~	she asked ~	그녀는 ~를 물어보았다	elle a demandé ~	彼女は～を尋ねた	她问~	她問~	cô ấy hỏi ~
ni ne forgesu kunporti ~	let's not forget to bring ~	~를 가지고 가는 것을 우리 잊지 말자	n'oublions pas d'apporter ~	~を持っていくことを私たちは忘れてはいけない	大家别忘了带哦~	大家別忘了帶哦~	đừng quên mang theo nhé ~
kunporti la libron	to take the book with you	그 책을 휴대하다	prendre le livre avec toi	その本を持ち歩く	随身携带这本书	隨身攜帶這本書	mang theo cuốn sách với bạn
libro por lerni Esperanton	a book to learn Esperanto	에스페란토를 배우기 위한 책	un livre pour apprendre l'espéranto	エスペラントを学ぶための本	一本学习世界语的书	一本學習世界語的書	một cuốn sách để học Esperanto
kunporti libron por lerni	to carry a book to learn	학습하기 위한 책을 휴대하다	porter un livre pour apprendre	学習のための本を持ち歩く	带着一本书去学习	帶著一本書去學習	mang theo sách để học
ni povas komenci ~	we can start ~	우리는 ~을 시작할 수 있다	nous pouvons commencer ~	私たちは～を始めることができる	我们可以开始啦~	我們可以開始啦~	chúng ta có thể bắt đầu ~
en la vagonaro	in the train	그 기차 안에	dans le train	その電車の中で	在火车上	在火車上	trên tàu
jam en la vagonaro	already in the train	이미 그 기차 안에	déjà dans le train	すでにその電車の中で	已经在火车上	已經在火車上	đã ở trên tàu rồi
ni nenion faros	we won't do anything	우리는 아무것도 하지 않을 것이다	nous ne ferons rien	私たちは何もしないだろう	我们不会做任何事	我們不會做任何事	chúng tôi sẽ không làm gì cả
per aŭto	by car	자동차로	en voiture	車で	坐车	搭車	bằng xe hơi
ni veturos per ~	we will drive by ~	우리는 ~를 이용해서 차량 이동할 것이다	nous passerons par ~	私たちは～を利用して車移動する	我们开车过去~	我們開車過去~	chúng ta sẽ lái xe ngang qua ~
veturos per aŭto	will drive a car	자동차를 이용해서 이동할 것이다	je conduirai une voiture	車を利用して移動するだろう	会开车	會開車	sẽ lái ô tô
mi havas sekreton	I have a secret	나는 비밀이 있다	j'ai un secret	私には秘密がある	我有一个秘密	我有一個秘密	tôi có một bí mật
mia riĉa onklo	my rich uncle	나의 부자 삼촌아저씨	mon oncle riche	私の金持ちおじさん	我有钱的叔叔	我有錢的叔叔	chú giàu của tôi
mia deziro	my wish	나의 희망사항	mon souhait	私の希望事項	我的希望	我的希望	điều ước của tôi
plenumis mian deziron	fulfilled my wish	나의 바램을 충족시켰다	exaucé mon souhait	私の願いを叶えた	实现了我的愿望	實現了我的願望	đã hoàn thành mong muốn của tôi
donis al ni	gave us	우리에 주었다	nous a donné	私たちにくれた	给我们	給我們	đã cho chúng tôi
sian aŭton	his car	자기의 차를	sa voiture	自分の車を	他的车	他的車	xe của anh ấy
kaj donis al ni sian aŭton	and gave us his car	그리고 우리에게 자기 차를 주었다	et nous a donné sa voiture	そして私たちに自分の車をくれた	并给了我们他的车	並給了我們他的車	và đưa cho chúng tôi chiếc xe của anh ấy
